Pump pressure in bar;P_avg in W
2,15;2662,459664
2,05;2642,312023
2;2623,518227
1,95;2612,822992
1,9;2592,116321
1,8;2570,554497
1,65;2522,324001
1,45;2461,590582
1,25;2349,944737
1,15;2334,504912
0,7;2089,578806
0,05;1759,171973
